### Footprint positions - created on 2026-08-17T19:03:23 ###
### Printed by KiCad version 10.0.5
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val            Package                PosX       PosY       Rot  Side
C101      1.0uF          R_0402               0.3543    -0.1378    0.0000  top
C102      10uF           R_0402               0.4724    -0.1378    0.0000  top
D101      ESD            R_0402               0.2165    -0.1378    0.0000  top
J101      PPG_HEAD       JST_GH_9P            0.4921    -0.5709  180.0000  top
R101      33R            R_0402               0.6890    -0.1378    0.0000  top
R102      33R            R_0402               0.8071    -0.1378    0.0000  top
U101      MAX30102       OLGA-14              0.4921    -0.3150    0.0000  top
U102      LP5907MFX-1.8  SOT-23-5             0.2165    -0.3150    0.0000  top
U103      TXS0102DCUR    VSSOP-8              0.7677    -0.3150    0.0000  top
U104      AT24CS02       SOT-23-5             0.7677    -0.4921    0.0000  top
U105      LIS2DW12       LGA-12               0.2165    -0.4921    0.0000  top
## End
